X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-86.9863976740567,21.0129614135865,"177","1",0,28268.1722412109,17600,63.3896316267113,"1",7232700,7232+700,./0.png
-86.9855372861595,21.0133660675794,"178","1",0,28268.1722412109,17700,63.3896316267113,"1",7232800,7232+800,./0.png
-86.9846962522337,21.0138041995818,"179","1",0,28268.1722412109,17800,59.5443729449234,"1",7232900,7232+900,./0.png
-86.9838666917068,21.0142621129381,"180","1",0,28268.1722412109,17900,59.5443729449234,"1",7233000,7233+000,./0.png
-86.9830548763944,21.0147463231029,"181","1",0,28268.1722412109,18000,55.7182333955908,"1",7233100,7233+100,./0.png
-86.9822596962491,21.0152551859155,"182","1",0,28268.1722412109,18100,55.7182333955908,"1",7233200,7233+200,./0.png
-86.9814793590781,21.0157830934558,"183","1",0,28268.1722412109,18200,51.8657308218569,"1",7233300,7233+300,./0.png
-86.9807223764823,21.0163409654217,"184","1",0,28268.1722412109,18300,51.8657308218569,"1",7233400,7233+400,./0.png
-86.9799639840811,21.0168971389031,"185","1",0,28268.1722412109,18400,52.3670530116457,"1",7233500,7233+500,./0.png
-86.9792018207705,21.017448763604,"186","1",0,28268.1722412109,18500,52.3670530116457,"1",7233600,7233+600,./0.png
-86.9784204178448,21.0179752874049,"187","1",0,28268.1722412109,18600,56.1409545736194,"1",7233700,7233+700,./0.png
-86.9776212282912,21.018478605738,"188","1",0,28268.1722412109,18700,56.1409545736194,"1",7233800,7233+800,./0.png
-86.976795892472,21.0189425823682,"189","1",0,28268.1722412109,18800,59.918331566565,"1",7233900,7233+900,./0.png
-86.975961993817,21.0193933995871,"190","1",0,28268.1722412109,18900,63.6958264871474,"1",7234000,7234+000,./0.png
-86.9750992503731,21.0197936771131,"191","1",0,28268.1722412109,19000,63.6958264871474,"1",7234100,7234+100,./0.png
-86.9742287383445,21.0201778843209,"192","1",0,28268.1722412109,19100,67.4735213069574,"1",7234200,7234+200,./0.png
-86.9733397734622,21.0205239115313,"193","1",0,28268.1722412109,19200,67.4735213069574,"1",7234300,7234+300,./0.png
-86.9724384004075,21.0208389938858,"194","1",0,28268.1722412109,19300,71.2518040559972,"1",7234400,7234+400,./0.png
-86.9715270756981,21.0211292575205,"195","1",0,28268.1722412109,19400,71.2518040559972,"1",7234500,7234+500,./0.png
-86.9706007889939,21.0213731413268,"196","1",0,28268.1722412109,19500,75.028601644582,"1",7234600,7234+600,./0.png
-86.9696700349921,21.0216021988056,"197","1",0,28268.1722412109,19600,78.806106895428,"1",7234700,7234+700,./0.png
-86.9687259705575,21.0217774362606,"198","1",0,28268.1722412109,19700,78.806106895428,"1",7234800,7234+800,./0.png
